[05-Dec-2018 13:26:50 UTC] PHP Fatal error:  require(): Failed opening required '../vendor/autoload.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/ci/application/controllers/Companies.php on line 4
[05-Dec-2018 13:26:52 UTC] PHP Fatal error:  require(): Failed opening required '../vendor/autoload.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/ci/application/controllers/Companies.php on line 4
[05-Dec-2018 14:41:05 UTC] PHP Fatal error:  Cannot use [] for reading in /home/ubuntu/workspace/ci/application/controllers/Companies.php on line 44
[05-Dec-2018 14:43:14 UTC] PHP Fatal error:  Cannot use [] for reading in /home/ubuntu/workspace/ci/application/controllers/Companies.php on line 44
[18-Dec-2018 08:28:54 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 08:29:24 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 08:54:01 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 08:54:31 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:11:57 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:12:27 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:13:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:14:03 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:14:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 210
[18-Dec-2018 13:15:03 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:15:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:16:03 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:16:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:39:18 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:39:48 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 212
[18-Dec-2018 13:49:34 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 420
[18-Dec-2018 13:50:04 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ubuntu/workspace/ci/system/libraries/Session/drivers/Session_files_driver.php on line 210
